titulo,descripcion,categoria,latitud,longitud,fechadelhecho,pais,provincia
Conquista,Descubrimiento arqueológico,Historia,89.252652,35.309411,1980-08-31,Chile,Jalisco
Conquista,Cambio político,Historia,-18.667446,-9.030686,1940-05-02,Chile,Valparaíso
Descubrimiento,Descubrimiento arqueológico,Política,-77.204415,98.69056,1913-06-12,España,Jalisco
Revolución,Avance científico,Política,23.874911,128.484913,1926-11-21,España,Madrid
Batalla,Cambio político,Cultura,-84.083392,4.065157,1913-06-12,Argentina,Jalisco
Revolución,Evento importante,Cultura,57.790388,41.456551,1994-02-10,Chile,Valparaíso
Descubrimiento,Descubrimiento arqueológico,Historia,-47.059768,104.647807,1926-11-21,España,Buenos Aires
Descubrimiento,Avance científico,Ciencia,36.186891,150.12794,1994-02-10,Chile,Jalisco
Descubrimiento,Descubrimiento arqueológico,Cultura,59.097938,-32.154524,1967-03-23,Argentina,Madrid
Fundación,Evento importante,Ciencia,-72.368219,83.229399,1980-08-31,Chile,Valparaíso
Fundación,Avance científico,Política,-34.877521,155.004787,1940-05-02,Argentina,Jalisco
Batalla,Evento importante,Ciencia,2.213069,162.160902,1940-05-02,México,Buenos Aires
Batalla,Descubrimiento arqueológico,Historia,-62.884208,167.809865,1980-08-31,Chile,Madrid
Revolución,Evento importante,Historia,-71.287497,6.193467,2020-12-31,México,Buenos Aires
Batalla,Evento importante,Ciencia,58.790743,117.349188,2020-12-31,México,Valparaíso
Conquista,Descubrimiento arqueológico,Historia,89.252652,35.309411,1980-08-31,Chile,Jalisco
Conquista,Cambio político,Historia,-18.667446,-9.030686,1940-05-02,Chile,Valparaíso
Descubrimiento,Descubrimiento arqueológico,Política,-77.204415,98.69056,1913-06-12,España,Jalisco
Revolución,Avance científico,Política,23.874911,128.484913,1926-11-21,España,Madrid
Batalla,Cambio político,Cultura,-84.083392,4.065157,1913-06-12,Argentina,Jalisco
